year,finish,seed
1984,1,1
1984,2,1
1984,4,2
1984,8,4
1984,16,8
1984,64,16
1985,1,1
1985,2,1
1985,4,2
1985,8,4
1985,16,8
1985,64,16
1986,1,1
1986,2,1
1986,4,2
1986,8,4
1986,16,8
1986,32,16
1986,64,8
1987,1,1
1987,2,1
1987,4,2
1987,8,4
1987,16,8
1987,32,16
1987,64,8
1988,1,1
1988,2,1
1988,4,2
1988,8,4
1988,16,8
1988,32,16
1988,64,8
1989,1,1
1989,2,1
1989,4,2
1989,8,4
1989,16,8
1989,32,16
1989,64,16
1990,1,1
1990,2,1
1990,4,2
1990,8,4
1990,16,8
1990,32,16
1990,64,16
1991,1,1
1991,2,1
1991,4,2
1991,8,4
1991,16,8
1991,32,16
1991,64,16
1992,1,1
1992,2,1
1992,4,2
1992,8,4
1992,16,8
1992,32,16
1992,64,16
1993,1,1
1993,2,1
1993,4,2
1993,8,4
1993,16,8
1993,32,16
1993,64,16
1994,1,1
1994,2,1
1994,4,2
1994,8,4
1994,16,8
1994,32,16
1994,64,32
1995,1,1
1995,2,1
1995,4,2
1995,8,4
1995,16,8
1995,32,16
1995,64,32
1996,1,1
1996,2,1
1996,4,2
1996,8,4
1996,16,8
1996,32,16
1996,64,32
1997,1,1
1997,2,1
1997,4,2
1997,8,4
1997,16,8
1997,32,16
1997,64,32
1998,1,1
1998,2,1
1998,4,2
1998,8,4
1998,16,8
1998,32,16
1998,64,32
1999,1,1
1999,2,1
1999,4,2
1999,8,4
1999,16,8
1999,32,16
1999,64,32
2000,1,1
2000,2,1
2000,4,2
2000,8,4
2000,16,8
2000,32,16
2000,64,32
2001,1,1
2001,2,1
2001,4,2
2001,8,4
2001,16,8
2001,32,16
2001,64,32
2002,1,1
2002,2,1
2002,4,2
2002,8,4
2002,16,8
2002,32,16
2002,64,32
2003,1,1
2003,2,1
2003,4,2
2003,8,4
2003,16,8
2003,32,16
2003,64,32
2004,1,1
2004,2,1
2004,4,2
2004,8,4
2004,16,8
2004,32,16
2004,64,32
2005,1,1
2005,2,1
2005,4,2
2005,8,4
2005,16,8
2005,32,16
2005,64,32
2006,1,1
2006,2,1
2006,4,2
2006,8,4
2006,16,8
2006,32,16
2006,64,32
2007,1,1
2007,2,1
2007,4,2
2007,8,4
2007,16,8
2007,32,16
2007,64,32
2008,1,1
2008,2,1
2008,4,2
2008,8,4
2008,16,8
2008,32,16
2008,64,32
2009,1,1
2009,2,1
2009,4,2
2009,8,4
2009,16,8
2009,32,16
2009,64,32
2010,1,1
2010,2,1
2010,4,2
2010,8,4
2010,16,8
2010,32,16
2010,64,32
2011,1,1
2011,2,1
2011,4,2
2011,8,4
2011,16,8
2011,32,16
2011,64,32
2012,1,1
2012,2,1
2012,4,2
2012,8,4
2012,16,8
2012,32,16
2012,64,32
2013,1,1
2013,2,1
2013,4,2
2013,8,4
2013,16,8
2013,32,16
2013,64,32
2014,1,1
2014,2,1
2014,4,2
2014,8,4
2014,16,8
2014,32,16
2014,64,32
2015,1,1
2015,2,1
2015,4,2
2015,8,4
2015,16,8
2015,32,16
2015,64,32
2016,1,1
2016,2,1
2016,4,2
2016,8,4
2016,16,8
2016,32,16
2016,64,32
2017,1,1
2017,2,1
2017,4,2
2017,8,4
2017,16,8
2017,32,16
2017,64,32
2018,1,1
2018,2,1
2018,4,2
2018,8,4
2018,16,8
2018,32,17
2018,64,31
2019,1,1
2019,2,1
2019,4,2
2019,8,4
2019,16,8
2019,32,16
2019,64,32
2021,1,1
2021,2,1
2021,4,2
2021,8,4
2021,16,8
2021,32,16
2021,64,32
2022,1,1
2022,2,1
2022,4,2
2022,8,4
2022,16,8
2022,32,16
2022,64,32
2022,68,4
