new,old
"Abilene Christian University","Abilene Christian"
"Alabama State University","Alabama St."
"American University","American"
"Arizona State University","Arizona St."
"Auburn University","Auburn"
"Baylor University","Baylor"
"Belmont University","Belmont"
"Bethune-Cookman University","Bethune-Cookman"
"Boise State University","Boise St."
"Bradley University","Bradley"
"Brigham Young University","BYU"
"Bucknell University","Bucknell"
"California State University, Northridge","CSUN"
"California State University, Sacramento","Sacramento St."
"Central Michigan University","Central Mich."
"Clemson University","Clemson"
"Cleveland State University","Cleveland St."
"College of the Holy Cross","Holy Cross"
"Colorado State University","Colorado St."
"Creighton University","Creighton"
"DePaul University","DePaul"
"Drake University","Drake"
"Drexel University","Drexel"
"Duke University","Duke"
"Duquesne University","Duquesne"
"East Carolina University","East Carolina"
"Elon University","Elon"
"Fairfield University","Fairfield"
"Florida Gulf Coast University","FGCU"
"Florida State University","Florida St."
"Fordham University","Fordham"
"Gardner-Webb University","Gardner-Webb"
"George Washington University","George Washington"
"Georgia Institute of Technology","Georgia Tech"
"Gonzaga University","Gonzaga"
"Grambling State University","Grambling"
"Hampton University","Hampton"
"High Point University","High Point"
"Howard University","Howard"
"Idaho State University","Idaho St."
"Illinois State University","Illinois St."
"Indiana University, Bloomington","Indiana"
"Indiana University-Purdue University Indianapolis","IUPUI"
"Iona University","Iona"
"Iowa State University","Iowa St."
"Jackson State University","Jackson St."
"Jacksonville University","Jacksonville"
"James Madison University","James Madison"
"Kansas State University","Kansas St."
"Lehigh University","Lehigh"
"Liberty University","Liberty"
"Long Beach State University","Long Beach St."
"Longwood University","Longwood"
"Louisiana State University","LSU"
"Marist College","Marist"
"Marquette University","Marquette"
"Mercer University","Mercer"
"Michigan State University","Michigan St."
"Middle Tennessee State University","Middle Tenn."
"Mississippi State University","Mississippi St."
"Missouri State University","Missouri St."
"Monmouth University","Monmouth"
"Montana State University-Bozeman","Montana St."
"Mount St. Mary's University","Mt. St. Mary's"
"New Mexico State University","New Mexico St."
"Nicholls State University","Nicholls St."
"Norfolk State University","Norfolk St."
"North Carolina A&T State University","NC A&T"
"North Carolina State University","NC State"
"Northwestern University","Northwestern"
"Oklahoma State University","Oklahoma St."
"Oregon State University","Oregon St."
"Portland State University","Portland St."
"Princeton University","Princeton"
"Purdue University","Purdue"
"Quinnipiac University","Quinnipiac"
"Radford University","Radford"
"Rice University","Rice"
"Robert Morris University","Robert Morris"
"Rutgers, The State University of New Jersey, New Brunswick","Rutgers"
"Sacred Heart University","Sacred Heart"
"Saint Francis University (Pennsylvania)","Saint Francis (PA)"
